DATE,CPI,GDP,UNRATE
01/01/1948,23.68,2086.017,3.4
01/02/1948,23.67,,3.8
01/03/1948,23.5,,4
01/04/1948,23.82,2120.45,3.9
01/05/1948,24.01,,3.5
01/06/1948,24.15,,3.6
01/07/1948,24.4,2132.598,3.6
01/08/1948,24.43,,3.9
01/09/1948,24.36,,3.8
01/10/1948,24.31,2134.981,3.7
01/11/1948,24.16,,3.8
01/12/1948,24.05,,4
01/01/1949,24.01,2105.562,4.3
01/02/1949,23.91,,4.7
01/03/1949,23.91,,5
01/04/1949,23.92,2098.38,5.3
01/05/1949,23.91,,6.1
01/06/1949,23.92,,6.2
01/07/1949,23.7,2120.044,6.7
01/08/1949,23.7,,6.8
01/09/1949,23.75,,6.6
01/10/1949,23.67,2102.251,7.9
01/11/1949,23.7,,6.4
01/12/1949,23.61,,6.6
01/01/1950,23.51,2184.872,6.5
01/02/1950,23.61,,6.4
01/03/1950,23.64,,6.3
01/04/1950,23.65,2251.507,5.8
01/05/1950,23.77,,5.5
01/06/1950,23.88,,5.4
01/07/1950,24.07,2338.514,5
01/08/1950,24.2,,4.5
01/09/1950,24.34,,4.4
01/10/1950,24.5,2383.291,4.2
01/11/1950,24.6,,4.2
01/12/1950,24.98,,4.3
01/01/1951,25.38,2415.66,3.7
01/02/1951,25.83,,3.4
01/03/1951,25.88,,3.4
01/04/1951,25.92,2457.517,3.1
01/05/1951,25.99,,3
01/06/1951,25.93,,3.2
01/07/1951,25.91,2508.166,3.1
01/08/1951,25.86,,3.1
01/09/1951,26.03,,3.3
01/10/1951,26.16,2513.69,3.5
01/11/1951,26.32,,3.5
01/12/1951,26.47,,3.1
01/01/1952,26.45,2540.55,3.2
01/02/1952,26.41,,3.1
01/03/1952,26.39,,2.9
01/04/1952,26.46,2546.022,2.9
01/05/1952,26.47,,3
01/06/1952,26.53,,3
01/07/1952,26.68,2564.401,3.2
01/08/1952,26.69,,3.4
01/09/1952,26.63,,3.1
01/10/1952,26.69,2648.621,3
01/11/1952,26.69,,2.8
01/12/1952,26.71,,2.7
01/01/1953,26.64,2697.855,2.9
01/02/1953,26.59,,2.6
01/03/1953,26.63,,2.6
01/04/1953,26.69,2718.709,2.7
01/05/1953,26.7,,2.5
01/06/1953,26.77,,2.5
01/07/1953,26.79,2703.411,2.6
01/08/1953,26.85,,2.7
01/09/1953,26.89,,2.9
01/10/1953,26.95,2662.482,3.1
01/11/1953,26.85,,3.5
01/12/1953,26.87,,4.5
01/01/1954,26.94,2649.755,4.9
01/02/1954,26.99,,5.2
01/03/1954,26.93,,5.7
01/04/1954,26.86,2652.643,5.9
01/05/1954,26.93,,5.9
01/06/1954,26.94,,5.6
01/07/1954,26.86,2682.601,5.8
01/08/1954,26.85,,6
01/09/1954,26.81,,6.1
01/10/1954,26.72,2735.091,5.7
01/11/1954,26.78,,5.3
01/12/1954,26.77,,5
01/01/1955,26.77,2813.212,4.9
01/02/1955,26.82,,4.7
01/03/1955,26.79,,4.6
01/04/1955,26.79,2858.988,4.7
01/05/1955,26.77,,4.3
01/06/1955,26.71,,4.2
01/07/1955,26.76,2897.598,4
01/08/1955,26.72,,4.2
